stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
01000053217,bstgjpg,"Bristol, Bristol Bus Stn (Bay 7)",51.45905,-2.59272,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053217,3
01000053218,bstgjmw,"Bristol, Bristol Bus Stn (Bay 6)",51.45903,-2.59273,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053218,3
01000053219,bstgjmj,"Bristol, Bristol Bus Stn (Bay 5)",51.45902,-2.59281,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053219,3
01000053220,bstgjma,"Bristol, Bristol Bus Stn (Bay 4)",51.45901,-2.59279,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053220,3
01000053221,bstgjgm,"Bristol, Bristol Bus Stn (Bay 3)",51.45899,-2.59283,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053221,3
01000053222,bstpdgt,"Bristol, Bristol Bus Stn (Bay 2)",51.459,-2.59286,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053222,3
01000053223,bstgjdw,"Bristol, Bristol Bus Stn (Bay 1)",51.45899,-2.59291,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053223,3
01000053227,bstdtpw,"Canon's Marsh, Anchor Road (W-bound)",51.45079,-2.60031,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053227,3
01000053228,bstdtpd,"Canon's Marsh, Anchor Road (E-bound)",51.45093,-2.60034,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053228,3
01000053229,bstdtma,"Canon's Marsh, Anchor Road (Stop pc)",51.45048,-2.60058,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053229,3
01000053230,bstdtjp,"Canon's Marsh, Anchor Road (Stop pd)",51.45121,-2.60081,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053230,3
01000053231,bstdtgt,"Canon's Marsh, Anchor Road (Stop pb)",51.45047,-2.60101,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053231,3
